Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
706,1062.83,1068.39,1050.11,1056.07,146457,5918,154742132.6,18.28,-6.76,1056.57
707,1080.91,1092.18,1062.43,1076.65,333223,10301.8,358822662.8,29.75,-4.26,1076.82
708,1062.76,1066.38,1047.56,1053.18,184903,7029.2,194881549.2,18.82,-9.58,1053.97
709,1056.78,1065.32,1046.93,1056.02,207997,7438.4,219670515.2,18.39,-0.76,1056.12
710,1036.97,1043.46,1024.8,1028,166124,7064.6,171253679.2,18.66,-8.97,1030.88
711,1031.8,1038.35,1017.37,1031.66,89592,4835.8,92174456.8,20.98,-0.14,1028.82
712,1043.91,1050.35,1031.2,1040.53,57004,3727.2,59398041.8,19.15,-3.38,1042
713,1019.63,1024.13,1006.06,1014.6,95900,5245,97368876,18.07,-5.03,1015.32
714,1014.08,1017.27,996.47,1004.94,189319,9580.2,190523455.6,20.8,-9.14,1006.36
715,991.41,994.19,973.71,979.72,110827,7089.6,108439154.8,20.48,-11.69,978.45
716,981.64,991.14,968.8,985.43,229361,5649,224436477.2,22.34,3.79,978.53
717,1007.24,1016.43,1000.26,1011.02,79566,2278,80128710.4,16.17,3.78,1007.07
718,1027.05,1034.46,1019.95,1028.49,55464,1972.6,56956128.8,14.51,1.44,1026.9
719,1026.55,1036.92,1012.13,1023.13,100323,3226.4,102355415.8,24.79,-3.42,1020.26
720,1009.85,1015.11,997.85,1006.13,66816,2314.8,67355268.4,17.26,-3.72,1008.07
721,1005.4,1013.94,998.44,1008.99,130024,3710.4,130790079.2,15.5,3.59,1005.89
722,1040.2,1055.63,1034.48,1048.08,87375,2986.6,91482053.2,21.15,7.88,1047
723,1058.98,1069.95,1049.45,1063.33,96351,3345.2,101920062.4,20.5,4.35,1057.8
724,1068.25,1082.26,1063.92,1077.55,67354,2527.8,72326700.6,18.34,9.3,1073.83
725,1088.59,1104.4,1086.16,1097.98,141792,3299.2,155961958.8,18.24,9.39,1099.93
726,1110.82,1120.22,1099.02,1109.22,204174,4389.6,226713644.4,21.2,-1.6,1110.39
727,1105.22,1113.89,1095.89,1105.09,185889,2687,205961919.4,18,-0.13,1107.98
728,1099.93,1107.87,1089.84,1096.44,93006,2619,102196033.6,18.03,-3.49,1098.81
729,1093.33,1097.01,1079.34,1085.51,57774,1861.6,62833502.2,17.67,-7.82,1087.57
730,1088.66,1094.43,1076.32,1086.9,57365,1728.8,62370704.8,18.11,-1.76,1087.26
731,1036.6,1042.37,1018.26,1028.17,133317,4317.2,136875817.8,24.11,-8.43,1026.69
732,1022.47,1026.22,1003.17,1012.52,109389,3322.6,110610687,23.05,-9.95,1011.17
733,1003.99,1013.68,987.94,1002.05,84745,3373.8,84726153.6,25.74,-1.94,999.78
734,1018.79,1030.09,1011.61,1021.72,65313,2669.4,66969705,18.48,2.93,1025.37
735,1046.25,1056.97,1032.14,1045.39,58072,2103.8,60746588.2,24.83,-0.86,1046.06
736,1073.6,1086.7,1057.67,1076.66,129310,3665.4,139386361.4,29.03,3.06,1077.92
737,1086.56,1091.97,1078.51,1083.27,57167,1465.6,62096394.6,13.46,-3.29,1086.23
738,1090.2,1097.26,1083.78,1092.05,162792,3041.8,177892950.2,13.48,1.85,1092.76
